stp_id,name,total_list_size
E54000004,Healthier Lancashire and South Cumbria,1787755
E54000005,West Yorkshire and Harrogate Health & Care Partnership (STP),2756538
E54000006,"Humber, Coast and Vale STP",1447558
E54000007,Greater Manchester Health & Social Care Partnership,3123854
E54000008,Cheshire and Merseyside STP,2672123
E54000009,South Yorkshire and Bassetlaw STP,1589966
E54000010,Staffordshire & Stoke on Trent STP,1165074
E54000011,Shropshire and Telford and Wrekin STP,508001
E54000012,Joined Up Care Derbyshire STP,1062482
E54000013,Lincolnshire STP,798425
E54000014,Nottingham and Nottinghamshire Health and Care STP,1107963
E54000015,"Leicester, Leicestershire and Rutland STP",1161617
E54000016,The Black Country and West Birmingham STP,1482529
E54000017,Birmingham and Solihull STP,1335087
E54000018,Coventry and Warwickshire STP,1023009
E54000019,Herefordshire and Worcestershire STP,803238
E54000020,Northamptonshire STP,785518
E54000021,Cambridgeshire and Peterborough STP,998257
E54000022,Norfolk and Waveney Health & Care Partnership (STP),1066619
E54000023,Suffolk and North East Essex STP,1030600
E54000024,"Bedfordshire, Luton and Milton Keynes STP",1037822
E54000025,Hertfordshire and West Essex STP,1588438
E54000026,Mid and South Essex STP,1239705
E54000027,North West London Health & Care Partnership (STP),2603821
E54000028,North London Partners in Health & Care (STP),1684766
E54000029,East London Health & Care Partnership (STP),2262022
E54000030,Our Healthier South East London STP,2023956
E54000031,South West London Health & Care Partnership (STP),1713614
E54000032,Kent and Medway STP,1924883
E54000033,Sussex Health and Care Partnership STP,1978778
E54000034,Frimley Health & Care (STP),801839
E54000035,Surrey Heartlands Health & Care Partnership (STP),916251
E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership (STP),585275
E54000037,Devon STP,1246806
E54000038,Somerset STP,583784
E54000039,"Bristol, North Somerset and South Gloucestershire STP",1038586
E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",959654
E54000041,Dorset STP,808709
E54000042,Hampshire and the Isle of Wight STP,1897084
E54000043,Gloucestershire STP,660299
E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",1900284
E54000049,Cumbria and North East STP,3265683
STP1,Dummy STP 1,2000
STP2,Dummy STP 2,2000
STP3,Dummy STP 3,2000
STP4,Dummy STP 4,2000
STP5,Dummy STP 5,2000
STP6,Dummy STP 6,2000
STP7,Dummy STP 7,2000
STP8,Dummy STP 8,2000
STP9,Dummy STP 9,2000
STP10,Dummy STP 10,2000